Wiener Entropy Mean,Wiener Entropy Median,Wiener Entropy Std,Group
0.99743193,0.9982179,0.003639995,0
0.9727844,0.99907875,0.061016437,2
0.99775124,0.99847794,0.003488548,0
0.997255,0.9982798,0.004775122,0
0.99788636,0.99863565,0.002945515,0
0.9977058,0.9980162,0.001831267,0
0.97054505,0.9990168,0.07170297,2
0.997364,0.9982192,0.003429746,0
0.99781466,0.99831784,0.002725121,0
0.9997755,0.9998547,0.000286789,1
0.97409993,0.9987452,0.060750708,2
0.9704023,0.99900997,0.0662562,2
0.99973834,0.9998189,0.000289526,1
0.99967223,0.9997826,0.00054741,1
0.97231394,0.9988664,0.06673058,2
0.98575646,0.99931467,0.04875836,2
0.9976149,0.9978688,0.002152042,0
0.99978685,0.9998316,0.000227607,1
0.9704485,0.99889433,0.063921794,2
0.9741366,0.9990486,0.06291606,2
0.97156304,0.9986396,0.06268563,2
0.999711,0.9998262,0.000523531,1
0.9883593,0.9992374,0.036495104,2
0.98007333,0.999088,0.050678305,2
0.9997769,0.9998227,0.000253407,1
0.9669812,0.9985678,0.06739898,2
0.9996778,0.9997835,0.00042808,1
0.99948967,0.9996698,0.000983473,2
0.99982774,0.9998523,0.000135941,1
0.9997733,0.999815,0.00021599,1
0.99976945,0.99983674,0.000241208,1
0.9978338,0.99822706,0.002169036,0
0.9721635,0.9984637,0.061233032,2
0.9975378,0.99871707,0.005104845,0
0.9997586,0.9998546,0.000485713,1
0.9997633,0.99980307,0.000225304,1
0.9997573,0.9998142,0.000267851,1
0.99982333,0.9998449,0.000155705,1
0.99976045,0.99980664,0.000246015,1
0.99772847,0.99859947,0.003541907,0
0.9997388,0.99978125,0.000314722,1
0.999715,0.9997369,0.000253825,1
0.9588989,0.9984985,0.08921041,2
0.99751735,0.99858224,0.003254084,0
0.99746704,0.9983878,0.003342213,0
0.9749896,0.9987172,0.058008112,2
0.9990563,0.9992947,0.00135518,0
0.99978304,0.9998376,0.000267906,1
0.9683828,0.9985114,0.05789731,2
0.9997876,0.99983686,0.000259205,1
0.99670994,0.9975475,0.002969614,0
0.97593915,0.99885684,0.056372557,2
0.9976591,0.9982639,0.002375484,0
0.9997318,0.99984705,0.000690348,1
0.98939794,0.99912,0.0339765,2
0.987779,0.9992093,0.04003152,2
0.99969995,0.99978316,0.000376775,1
0.9997135,0.99976766,0.000308588,1
0.9978451,0.9982996,0.002201819,0
0.9998057,0.9998465,0.000175021,1
0.9745894,0.99870807,0.055528525,2
0.9996564,0.99976814,0.000496317,1
0.9997183,0.9998027,0.000407567,1
0.9710714,0.9989921,0.06433929,2
0.9997529,0.99981624,0.000248829,1
0.98100996,0.999105,0.04912108,2
0.9972832,0.9983034,0.002836878,0
0.9699815,0.9987804,0.06243506,2
0.9997244,0.9997987,0.000389808,1
0.97538435,0.9990707,0.056925375,2
0.9634901,0.9984971,0.07486342,2
0.9974576,0.9982206,0.003275985,0
0.974759,0.9989394,0.054564472,2
0.9973894,0.9981188,0.003452499,0
0.97705346,0.99892086,0.053569876,2
0.9998246,0.9998697,0.000236326,1
0.9997309,0.9998205,0.000306204,1
0.99675584,0.9980121,0.004932172,0
0.9741362,0.99854386,0.058830075,2
0.9997619,0.9998373,0.000319701,1
