Wiener Entropy Mean,Wiener Entropy Median,Wiener Entropy Std,Pitch,Spectral Continuity,Frequency Modulation,Peak Value,Group
0.9985032,0.9990498,0.0017874867,2666.5657,31.276094491320798,31.278611887949882,0.18353271,Orange 148
0.9986244,0.9989908,0.0014335332,2579.1357,31.276094491320798,31.278611887949882,0.16253662,Orange 148
0.99859,0.9988982,0.0013978719,2722.0256,31.276094491320798,31.278611887949882,0.1696167,Orange 148
0.9985076,0.99884504,0.0014844051,2641.96,31.276094491320798,31.278611887949882,0.13476562,Orange 148
0.9986209,0.9990605,0.0015867985,2642.4985,31.276094491320798,31.278611887949882,0.14099121,Orange 148
0.9995142,0.99959755,0.00046880438,2595.249,31.276094491320798,31.278611887949882,0.42825317,Orange 148
0.9980803,0.9988524,0.0051423972,2540.6548,31.276094491320798,31.278611887949882,0.11029053,Orange 148
0.99835634,0.9987235,0.0014179475,2573.9155,31.276094491320798,31.278611887949882,0.11480713,Orange 148
0.997808,0.99872726,0.0035319405,2309.9966,31.276094491320798,31.278611887949882,0.09109497,Orange 148
0.99851316,0.99885875,0.0016067005,2562.2278,31.276094491320798,31.278611887949882,0.11682129,Orange 148
0.99843174,0.99887735,0.001376776,2664.7266,31.276094491320798,31.278611887949882,0.12231445,Orange 148
0.99852496,0.9988847,0.0014387659,2533.2817,31.276094491320798,31.278611887949882,0.105651855,Orange 148
0.9983635,0.99889547,0.0022007932,2337.9866,31.276094491320798,31.278611887949882,0.0843811,Orange 148
0.998525,0.9989969,0.0018594408,2516.5166,31.276094491320798,31.278611887949882,0.15258789,Orange 148
0.9984907,0.99871063,0.0010948622,2414.809,31.276094491320798,31.278611887949882,0.12771606,Orange 148
0.99856204,0.9986598,0.0011571728,2494.3096,31.276094491320798,31.278611887949882,0.16851807,Orange 148
0.99859923,0.9990252,0.0020537968,2604.845,31.276094491320798,31.278611887949882,0.18255615,Orange 148
0.9985385,0.9987001,0.0012472925,2596.8179,31.276094491320798,31.278611887949882,0.13543701,Orange 148
0.9984919,0.99884546,0.0014788953,2594.84,31.276094491320798,31.278611887949882,0.13537598,Orange 148
0.99795943,0.99859434,0.0018351759,2167.457,31.276094491320798,31.278611887949882,0.05001831,Orange 148
0.99840575,0.9988344,0.0020243728,2303.2168,31.276094491320798,31.278611887949882,0.09359741,Orange 148
0.99986035,0.9999237,0.000310139,2578.1108,31.276094491320798,31.278611887949882,0.7479553,Orange 168
0.9998712,0.9998999,0.00011902504,2677.793,31.276094491320798,31.278611887949882,0.9998779,Orange 168
0.9998933,0.9999275,0.00012586506,2817.3442,31.276094491320798,31.278611887949882,0.8335266,Orange 168
0.9998599,0.9999056,0.00019337301,2451.0378,31.276094491320798,31.278611887949882,0.69955444,Orange 168
0.99985105,0.99990684,0.00019818221,2557.4983,31.276094491320798,31.278611887949882,0.83029175,Orange 168
0.99990046,0.99991804,8.4804386e-05,2273.8145,31.276094491320798,31.278611887949882,0.68255615,Orange 168
0.99988353,0.9999058,0.00012213743,2278.1592,31.276094491320798,31.278611887949882,0.9999695,Orange 168
0.99989754,0.99992186,0.000110731635,2217.7314,31.276094491320798,31.278611887949882,0.84506226,Orange 168
0.99990165,0.99993825,0.000113936636,2377.73,31.276094491320798,31.278611887949882,0.9203491,Orange 168
0.99990755,0.99991405,6.5251865e-05,2402.9116,31.276094491320798,31.278611887949882,0.8463135,Orange 168
0.9998339,0.99988025,0.00020154993,2588.566,31.276094491320798,31.278611887949882,0.67962646,Orange 168
0.9998773,0.99992573,0.00013722619,2636.2942,31.276094491320798,31.278611887949882,0.8012085,Orange 168
0.9998932,0.9999196,0.00010192328,2678.9294,31.276094491320798,31.278611887949882,0.81073,Orange 168
0.9998633,0.9999048,0.00012633315,2549.311,31.276094491320798,31.278611887949882,0.8171692,Orange 168
0.99983346,0.9998726,0.00016511629,2687.1182,31.276094491320798,31.278611887949882,0.8473816,Orange 168
0.9998533,0.99991673,0.00019672199,2609.8867,31.276094491320798,31.278611887949882,0.7655029,Orange 168
0.99986076,0.9999101,0.00017095538,2539.7456,31.276094491320798,31.278611887949882,0.8421936,Orange 168
0.9998927,0.9999151,9.265331e-05,2268.3438,31.276094491320798,31.278611887949882,0.68258667,Orange 168
0.99985087,0.99988544,0.0001269912,2534.523,31.276094491320798,31.278611887949882,0.9997864,Orange 168
0.999868,0.9998976,0.00012955646,2499.4688,31.276094491320798,31.278611887949882,0.84765625,Orange 168
0.9998459,0.999849,0.000113329246,2282.3887,31.276094491320798,31.278611887949882,0.627594,Orange 168
0.9998487,0.9998957,0.00017420447,2624.9023,31.276094491320798,31.278611887949882,0.92333984,Orange 168
0.99987614,0.99991214,0.00013413548,2472.6602,31.276094491320798,31.278611887949882,0.72821045,Orange 168
0.99986356,0.9999055,0.00014439935,2562.9612,31.276094491320798,31.278611887949882,0.7451782,Orange 168
0.9998235,0.99987686,0.00027466068,2789.0942,31.276094491320798,31.278611887949882,0.9998474,Orange 168
0.9998669,0.9999021,0.00012616657,2561.5469,31.276094491320798,31.278611887949882,0.5916443,Orange 168
0.99988896,0.99992645,0.00012463289,2588.3518,31.276094491320798,31.278611887949882,0.9996948,Orange 168
0.99979603,0.9998731,0.00033077985,2798.4167,31.276094491320798,31.278611887949882,0.9999695,Orange 168
0.9998699,0.99990225,0.00014269348,2795.7854,31.276094491320798,31.278611887949882,0.90179443,Orange 168
0.9998586,0.99992174,0.00017527952,2612.0073,31.276094491320798,31.278611887949882,0.9999695,Orange 168
0.9783157,0.9993317,0.04845031,281.9649,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9764132,0.9992085,0.04683077,293.35428,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.97810656,0.9994991,0.053822957,281.68433,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.98103666,0.9994525,0.04430983,248.07993,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9781994,0.9994103,0.052115776,251.60197,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9793234,0.99931353,0.04896985,253.19543,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9785778,0.99947953,0.05588762,1398.0818,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9677377,0.9992727,0.078670554,1417.7393,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.97318536,0.9991636,0.0583767,1642.0928,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9916646,0.9996136,0.029039156,246.14868,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.98074156,0.9993805,0.050229795,247.43326,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9917329,0.99962056,0.028763182,238.37996,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9856726,0.9994815,0.038984574,256.34363,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9825111,0.99938804,0.04505772,251.6511,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.98149705,0.9995676,0.045799922,243.99826,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.98048913,0.9993111,0.045998447,284.12778,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9791383,0.9994922,0.050009,238.01129,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.98996776,0.9996446,0.03915921,248.55927,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9808542,0.9992846,0.045559976,279.54266,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.98097956,0.99947757,0.048738375,280.00525,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.98597306,0.99954283,0.03957209,249.52637,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.979713,0.9994008,0.052399322,253.98643,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.97564834,0.99933815,0.05410253,292.92044,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9929927,0.99948716,0.025255509,216.99359,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9824349,0.9993502,0.04441796,272.05795,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.98156655,0.9992274,0.047117557,249.7136,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9800037,0.9995104,0.046875563,246.85182,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.98386467,0.999449,0.040286098,249.18967,31.276094491320798,31.278611887949882,0.9999695,Purple 19
0.9996386,0.9997828,0.0010448864,2570.4956,31.276094491320798,31.278611887949882,1.0,Purple 19
